證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1568,倉佑,2021-01-28,1893000,53273200,28.85,29.20,27.10,27.55,-0.85,1231
1582,信錦,2021-01-28,750000,60999300,82.00,82.20,80.90,81.00,-1.00,588
1583,程泰,2021-01-28,20000,1241500,61.60,62.80,61.10,61.40,-1.30,13
1587,吉茂,2021-01-28,171000,4024350,23.55,23.70,23.40,23.45,-0.25,109
1589,永冠-KY,2021-01-28,499000,38734700,78.20,78.60,76.60,77.80,0.00,329
1590,亞德客-KY,2021-01-28,2381000,2454133000,1105.00,1120.00,998.00,1000.00,-85.00,1983
1592,英瑞-KY,2021-01-28,317000,2440930,8.00,8.00,7.58,7.78,-0.13,179
1597,直得,2021-01-28,9720000,1121471500,112.00,119.00,112.00,112.00,1.50,6961
1598,岱宇,2021-01-28,1694000,170433700,101.00,102.50,98.50,98.50,-2.00,862
1603,華電,2021-01-28,191000,4972250,26.15,26.45,25.70,25.70,-0.75,130
1604,聲寶,2021-01-28,849000,21572250,25.45,25.55,25.30,25.30,-0.20,306
1605,華新,2021-01-28,9445000,157127850,16.85,17.00,16.40,16.45,-0.40,2928
1608,華榮,2021-01-28,2560000,28016200,11.15,11.15,10.70,10.70,-0.45,786
1609,大亞,2021-01-28,7283000,132847850,18.25,18.55,18.00,18.00,-0.15,2652
1611,中電,2021-01-28,1283000,16201100,12.75,12.85,12.50,12.50,0.00,490
1612,宏泰,2021-01-28,1612000,26680800,16.85,16.90,16.30,16.30,-0.30,669
1614,三洋電,2021-01-28,123000,4177300,33.95,34.20,33.90,33.95,-0.25,82
1615,大山,2021-01-28,127000,2956900,23.30,23.55,23.20,23.20,-0.20,88
1616,億泰,2021-01-28,358000,1873280,5.29,5.33,5.19,5.23,-0.06,136
1617,榮星,2021-01-28,52000,731850,14.05,14.15,14.05,14.10,-0.10,31
1618,合機,2021-01-28,972000,10647700,10.95,11.15,10.70,10.80,-0.15,319
1626,艾美特-KY,2021-01-28,170000,4035900,23.65,24.20,23.30,24.20,0.30,100
1701,中化,2021-01-28,695000,15246350,22.00,22.10,21.80,21.80,-0.25,374
1702,南僑,2021-01-28,452000,20181300,44.50,45.00,44.50,44.50,0.00,356
1707,葡萄王,2021-01-28,247000,42827500,174.00,174.00,172.50,173.00,-1.00,220
1708,東鹼,2021-01-28,229000,4979150,21.75,21.80,21.70,21.75,-0.05,144
1709,和益,2021-01-28,733000,10285600,14.10,14.15,13.95,14.00,-0.15,284
1710,東聯,2021-01-28,2488000,44939050,18.00,18.35,17.85,17.95,-0.05,1014
1711,永光,2021-01-28,977000,15152100,15.65,15.65,15.30,15.35,-0.25,455
1712,興農,2021-01-28,1013000,20779250,20.65,20.65,20.45,20.45,-0.20,522
1713,國化,2021-01-28,141000,2611550,18.55,18.65,18.50,18.55,0.00,53
1714,和桐,2021-01-28,3400000,31312230,9.30,9.32,9.11,9.17,-0.11,1075
1717,長興,2021-01-28,2788000,93447500,33.75,34.15,33.20,33.25,-0.70,1561
1718,中纖,2021-01-28,6757000,56666870,8.48,8.51,8.27,8.29,-0.16,2225
1720,生達,2021-01-28,243000,8669450,35.65,35.80,35.60,35.60,-0.10,157
1722,台肥,2021-01-28,2271000,114097100,50.30,50.50,50.00,50.30,0.00,868
1723,中碳,2021-01-28,387000,39030000,101.00,101.00,100.50,101.00,0.00,309
1724,台硝,2021-01-28,26000,323000,12.50,12.50,12.40,12.40,-0.10,21
1725,元禎,2021-01-28,35000,526000,15.05,15.15,15.00,15.00,-0.25,30
1726,永記,2021-01-28,85000,5957100,70.10,70.20,70.00,70.00,-0.40,71
1727,中華化,2021-01-28,30000,323600,10.90,10.90,10.75,10.75,-0.10,20
1730,花仙子,2021-01-28,109000,7590500,69.60,70.00,69.40,69.60,0.00,82
1731,美吾華,2021-01-28,325000,5377350,16.55,16.65,16.50,16.50,-0.05,166
1732,毛寶,2021-01-28,6991000,215344650,29.80,31.90,29.70,30.10,-0.10,3725
1733,五鼎,2021-01-28,154000,3405700,22.15,22.45,22.00,22.05,-0.15,82
1734,杏輝,2021-01-28,1175000,31974300,27.65,27.85,26.60,26.70,-1.00,747
1735,日勝化,2021-01-28,6000,99900,16.65,16.65,16.65,16.65,0.00,2
1736,喬山,2021-01-28,1605000,133273200,84.30,84.30,81.90,81.90,-2.40,1126
1737,臺鹽,2021-01-28,345000,11034400,32.00,32.10,31.90,32.05,0.00,164
1760,寶齡富錦,2021-01-28,770000,58110100,77.40,77.40,73.80,74.10,-2.50,580
1762,中化生,2021-01-28,653000,34660500,53.50,53.90,52.50,53.40,-0.20,462
1773,勝一,2021-01-28,277000,27976500,101.00,102.00,100.00,100.00,-1.00,214
1776,展宇,2021-01-28,30000,484050,16.15,16.25,16.05,16.15,0.05,21
1783,和康生,2021-01-28,478000,10827300,22.60,22.85,22.45,22.80,0.20,129
1786,科妍,2021-01-28,64000,3408400,53.10,53.80,53.00,53.00,-0.20,57
1789,神隆,2021-01-28,1130000,27624100,24.85,25.00,24.10,24.15,-0.70,724
1795,美時,2021-01-28,646000,43869000,68.70,68.90,67.30,67.50,-0.90,490
1802,台玻,2021-01-28,10291000,165585700,16.40,16.45,15.80,15.95,-0.25,3166
1805,寶徠,2021-01-28,581000,6402350,11.05,11.20,10.95,10.95,-0.05,99
1806,冠軍,2021-01-28,4636000,36693320,7.65,8.08,7.65,7.70,0.07,1157
1808,潤隆,2021-01-28,206000,11890800,57.50,58.00,57.50,57.50,-0.40,142
1809,中釉,2021-01-28,416000,4379850,10.60,10.70,10.40,10.45,-0.10,185
1810,和成,2021-01-28,480000,4325930,9.01,9.08,8.99,9.00,-0.04,228
1817,凱撒衛,2021-01-28,84000,2682850,32.00,32.00,31.90,31.90,-0.05,52
1903,士紙,2021-01-28,266000,12876100,48.70,49.00,47.90,48.10,-0.80,179
1904,正隆,2021-01-28,2735000,79426400,29.25,29.45,28.70,28.70,-0.50,1373
1905,華紙,2021-01-28,3101000,30999300,10.05,10.15,9.93,9.93,-0.07,983
1906,寶隆,2021-01-28,168000,2560200,15.35,15.45,15.05,15.05,-0.35,104
1907,永豐餘,2021-01-28,3822000,90069350,23.90,24.15,23.20,23.40,-0.35,1435
1909,榮成,2021-01-28,6820000,133721250,19.55,19.80,19.35,19.45,-0.10,1947
2002,中鋼,2021-01-28,33165000,767898050,23.25,23.55,22.95,22.95,-0.35,9145
2002A,中鋼特,2021-01-28,41000,2075100,50.60,50.90,50.50,50.80,0.00,32
2006,東和鋼鐵,2021-01-28,6022000,190371150,32.10,32.20,31.35,31.40,-0.70,3039
2007,燁興,2021-01-28,789000,6199270,7.96,8.02,7.70,7.72,-0.23,383
2008,高興昌,2021-01-28,172000,2241000,13.15,13.35,12.75,12.80,-0.30,116
2009,第一銅,2021-01-28,6901000,141246500,21.20,21.50,19.70,19.70,-1.00,3091
2010,春源,2021-01-28,1161000,13671250,11.80,11.95,11.60,11.70,-0.10,421
2012,春雨,2021-01-28,271000,4770450,17.60,18.00,17.35,17.45,-0.15,143
2013,中鋼構,2021-01-28,464000,13358650,28.80,29.00,28.50,28.50,-0.30,280
2014,中鴻,2021-01-28,15386000,213620100,14.15,14.25,13.60,13.60,-0.30,4594
2015,豐興,2021-01-28,643000,40668600,63.50,64.30,63.00,63.00,-0.70,438
2017,官田鋼,2021-01-28,1392000,14082150,10.40,10.40,10.00,10.25,-0.05,445
2020,美亞,2021-01-28,711000,13261750,18.80,18.85,18.55,18.65,-0.20,305
2022,聚亨,2021-01-28,1118000,7030300,6.35,6.41,6.20,6.22,-0.15,405
2023,燁輝,2021-01-28,4639000,53563550,11.70,11.85,11.35,11.35,-0.35,1482
2024,志聯,2021-01-28,85000,1212200,14.20,14.45,14.05,14.45,0.30,40
2025,千興,2021-01-28,338000,868770,2.56,2.60,2.52,2.52,-0.06,50
2027,大成鋼,2021-01-28,7201000,181637500,25.60,25.60,25.05,25.10,-0.30,2649
2028,威致,2021-01-28,1426000,30433150,21.90,22.00,20.50,20.55,-0.75,794
2029,盛餘,2021-01-28,225000,4525200,20.15,20.35,20.00,20.00,-0.15,129
2030,彰源,2021-01-28,920000,11306600,12.30,12.50,12.05,12.05,-0.20,406
2031,新光鋼,2021-01-28,1464000,50215650,34.65,34.75,34.10,34.10,-0.40,651
2032,新鋼,2021-01-28,744000,9407900,12.80,12.95,12.25,12.35,-0.15,327
2033,佳大,2021-01-28,214000,2524250,12.15,12.15,11.35,11.55,-0.30,115
2034,允強,2021-01-28,1524000,38371750,25.30,25.45,25.00,25.00,-0.10,716
2038,海光,2021-01-28,4103000,63960550,16.25,16.40,15.10,15.10,-1.00,1567
2049,上銀,2021-01-28,3936000,1577600000,413.50,415.50,394.50,396.00,-12.50,3060
2059,川湖,2021-01-28,307000,91533000,305.00,305.00,294.50,299.00,-2.50,258
2062,橋椿,2021-01-28,315000,7079700,22.75,22.75,22.15,22.15,-0.80,181
2069,運錩,2021-01-28,121000,1839550,15.15,15.40,15.05,15.05,-0.15,73
2101,南港,2021-01-28,1142000,43090900,38.05,38.15,37.40,37.80,-0.40,625
2102,泰豐,2021-01-28,1036000,17384150,16.75,17.00,16.65,16.65,-0.20,311
2103,台橡,2021-01-28,1762000,35084000,20.10,20.15,19.75,20.00,-0.10,643
2104,國際中橡,2021-01-28,2563000,60438700,24.10,24.15,23.10,23.15,-0.50,1226
2105,正新,2021-01-28,6548000,261622800,40.35,40.80,39.50,39.95,-0.40,2762
2106,建大,2021-01-28,1198000,38489700,31.80,32.40,31.70,32.00,0.10,750
2107,厚生,2021-01-28,1003000,22628050,22.70,22.80,22.25,22.25,-0.35,436
2108,南帝,2021-01-28,4459000,260943200,59.00,59.60,57.30,57.40,-1.60,2884
2109,華豐,2021-01-28,302000,3450350,11.50,11.50,11.35,11.45,-0.15,114
2114,鑫永銓,2021-01-28,89000,7868700,88.50,89.20,87.90,88.00,-0.60,54
2115,六暉-KY,2021-01-28,61000,2670300,44.10,44.30,43.35,43.45,-0.75,52
2201,裕隆,2021-01-28,6913000,285910550,41.75,42.10,40.90,40.90,-0.45,3432
2204,中華,2021-01-28,557000,25985250,46.55,47.00,46.40,46.45,-0.10,318
2206,三陽工業,2021-01-28,3590000,114238250,32.60,32.65,31.30,31.50,-0.90,1711
2207,和泰車,2021-01-28,1012000,581569000,590.00,590.00,567.00,567.00,-23.00,779
2208,台船,2021-01-28,1458000,35337000,24.70,24.70,23.95,24.05,-0.70,668
2227,裕日車,2021-01-28,162000,39868500,247.00,247.50,245.00,245.50,-1.50,143
2228,劍麟,2021-01-28,247000,18623800,76.80,76.80,74.30,74.30,-2.20,192
2231,為升,2021-01-28,1400000,258354000,185.00,189.00,181.00,182.00,1.50,1074
2233,宇隆,2021-01-28,861000,75335300,88.30,89.00,86.70,87.10,-1.00,555
2236,百達-KY,2021-01-28,30000,571850,19.40,19.50,18.45,18.50,-0.35,24
2239,英利-KY,2021-01-28,1849000,204921000,112.00,115.50,104.50,106.00,-3.00,1394
2241,艾姆勒,2021-01-28,479000,27731200,60.60,60.60,56.20,56.50,-2.20,333
2243,宏旭-KY,2021-01-28,40000,466650,11.70,11.90,11.15,11.45,-0.25,19
2247,汎德永業,2021-01-28,118000,27372500,235.00,235.00,230.00,230.00,-1.50,107
2301,光寶科,2021-01-28,14733000,814935000,56.00,56.70,54.30,54.90,-2.10,4974
2302,麗正,2021-01-28,2993000,65148900,21.00,22.00,20.65,22.00,2.00,1123
2303,聯電,2021-01-28,268132000,13795750600,52.30,52.60,50.00,50.00,-1.20,88722
2305,全友,2021-01-28,848000,7049470,8.46,8.49,8.10,8.14,-0.26,324
2308,台達電,2021-01-28,16565000,4825796500,298.00,298.00,282.50,282.50,-5.00,9192
2312,金寶,2021-01-28,8923000,107544900,12.15,12.25,11.90,11.90,-0.15,2486
2313,華通,2021-01-28,10488000,449625900,43.50,43.60,42.40,42.45,-0.70,4447
2314,台揚,2021-01-28,4104000,132913700,33.15,33.40,31.60,31.85,-1.00,2267
2316,楠梓電,2021-01-28,1386000,41259750,30.10,30.15,29.55,29.85,-0.25,478
2317,鴻海,2021-01-28,179678000,20660161000,119.00,120.00,111.50,111.50,-7.00,77673
2321,東訊,2021-01-28,23000,134510,6.39,6.39,5.81,5.86,-0.57,12
2323,中環,2021-01-28,6648000,55470540,8.52,8.52,8.21,8.23,-0.19,1762
2324,仁寶,2021-01-28,27624000,600176050,22.25,22.40,21.45,21.45,-0.70,8595
2327,國巨,2021-01-28,10928000,6375716000,586.00,594.00,573.00,574.00,-3.00,7939
2328,廣宇,2021-01-28,138131000,5951206550,44.45,45.55,39.80,41.35,-2.15,62467
2329,華泰,2021-01-28,15597000,238577850,15.15,15.70,14.70,14.75,-0.40,4265
2330,台積電,2021-01-28,89819000,54181451000,619.00,619.00,591.00,591.00,-10.00,45063
2331,精英,2021-01-28,6793000,175628850,25.90,26.60,25.20,25.20,-0.45,2472
2332,友訊,2021-01-28,5382000,128735600,24.15,24.40,23.55,24.15,0.05,1945
2337,旺宏,2021-01-28,38293000,1529600750,40.50,40.70,39.10,39.30,-0.30,14125
2338,光罩,2021-01-28,6456000,256029650,40.65,40.75,38.70,38.80,-1.35,3265
2340,光磊,2021-01-28,5953000,149764950,25.60,25.60,24.90,25.15,0.00,2249
2342,茂矽,2021-01-28,9256000,340294250,36.65,37.70,35.10,35.40,-1.15,4234
2344,華邦電,2021-01-28,86666000,2334033100,27.00,27.50,26.45,26.45,-0.05,26516
2345,智邦,2021-01-28,5339000,1464673500,272.50,278.00,268.50,269.50,-3.50,3324
2347,聯強,2021-01-28,5750000,263657100,46.20,46.90,45.10,45.20,-1.50,2534
2348,海悅,2021-01-28,442000,38599200,86.90,88.00,86.80,86.80,0.30,328
2349,錸德,2021-01-28,3626000,36941250,10.25,10.35,10.10,10.15,-0.05,831
2351,順德,2021-01-28,4102000,354297900,89.10,89.50,83.20,83.20,-5.00,2988
2352,佳世達,2021-01-28,32075000,939162150,29.80,30.20,28.25,28.65,-0.55,15064
2353,宏碁,2021-01-28,169194000,4708920100,28.70,29.30,26.10,27.05,-1.10,54902
2354,鴻準,2021-01-28,19117000,1464275600,78.70,78.80,74.80,74.80,-2.40,10595
2355,敬鵬,2021-01-28,3633000,120830600,34.25,34.25,32.80,32.85,-0.95,1926
2356,英業達,2021-01-28,18131000,428468300,24.05,24.15,23.25,23.25,-0.75,5361
2357,華碩,2021-01-28,3770000,1083788000,289.50,291.00,284.00,286.50,-2.00,2248
2358,廷鑫,2021-01-28,126000,1627950,12.85,13.05,12.85,12.90,0.05,58
2359,所羅門,2021-01-28,225000,3960350,17.75,17.85,17.45,17.60,-0.15,158
2360,致茂,2021-01-28,2979000,581200000,204.00,207.50,186.00,189.00,-12.50,2416
2362,藍天,2021-01-28,574000,16682450,29.15,29.40,28.80,29.25,-0.25,318
2363,矽統,2021-01-28,8597000,137299700,16.25,16.40,15.50,15.50,-0.55,3022
2364,倫飛,2021-01-28,286000,900790,3.00,3.17,3.00,3.12,0.14,56
2365,昆盈,2021-01-28,1246000,12965750,10.60,10.70,10.30,10.30,-0.25,380
2367,燿華,2021-01-28,4071000,81656000,20.40,20.40,19.90,19.95,-0.20,1589
2368,金像電,2021-01-28,14405000,772543800,55.10,55.30,51.90,52.10,-1.90,7320
2369,菱生,2021-01-28,6764000,94751250,14.30,14.40,13.75,13.80,-0.45,1847
2371,大同,2021-01-28,49645000,1290599350,26.05,26.60,25.05,25.20,0.30,15576
2373,震旦行,2021-01-28,107000,9167200,85.60,86.10,85.30,85.80,-0.50,100
2374,佳能,2021-01-28,867000,12496100,14.65,14.70,14.15,14.40,-0.35,418
2375,凱美,2021-01-28,18120000,1828288100,103.50,105.50,95.80,98.50,-2.50,11318
2376,技嘉,2021-01-28,4864000,387434000,80.00,80.60,78.50,78.90,0.00,2992
2377,微星,2021-01-28,6631000,882393500,134.50,136.50,130.00,130.50,-4.00,3395
2379,瑞昱,2021-01-28,8058000,3730865000,480.50,485.00,451.50,451.50,-28.50,5948
2380,虹光,2021-01-28,900000,6543450,7.57,7.57,7.00,7.19,-0.31,388
2382,廣達,2021-01-28,10458000,854775200,82.30,83.10,80.70,80.70,-2.10,5011
2383,台光電,2021-01-28,3545000,544270000,157.00,158.00,150.00,150.50,-6.00,2650
2385,群光,2021-01-28,3201000,280664900,88.50,89.00,86.50,86.50,-2.70,1928
2387,精元,2021-01-28,9562000,651762800,70.00,70.40,65.50,66.70,-2.00,5365
2388,威盛,2021-01-28,2196000,115713200,53.30,54.20,51.30,51.30,-1.50,1499
2390,云辰,2021-01-28,1201000,15552050,13.25,13.35,12.65,12.65,-0.55,616
2392,正崴,2021-01-28,3602000,163096900,46.25,46.25,44.50,44.85,-1.05,2001
2393,億光,2021-01-28,4073000,172183750,43.25,43.25,41.25,41.50,-1.70,2616
2395,研華,2021-01-28,1598000,554672500,345.50,355.00,344.00,346.00,-4.50,1127
2397,友通,2021-01-28,50000,3199300,63.80,64.20,63.80,63.80,0.10,38
2399,映泰,2021-01-28,21767000,328399050,14.65,15.65,14.45,15.65,1.35,7773
2401,凌陽,2021-01-28,136500000,3659476550,26.65,28.10,25.10,25.10,-0.70,50370
2402,毅嘉,2021-01-28,1929000,31764950,16.90,16.95,16.10,16.20,-0.50,823
2404,漢唐,2021-01-28,1092000,262236000,241.50,243.00,238.00,239.00,0.00,916
2405,浩鑫,2021-01-28,1579000,18541600,11.85,11.95,11.50,11.50,-0.35,594
2406,國碩,2021-01-28,3473000,61143450,17.95,18.15,17.25,17.40,-0.45,1645
2408,南亞科,2021-01-28,19262000,1564824400,80.50,83.00,79.60,79.90,0.50,10004
2409,友達,2021-01-28,507600000,7657844200,14.80,15.35,14.75,14.75,0.25,64519
2412,中華電,2021-01-28,12396000,1341869500,108.50,109.00,108.00,108.00,-1.00,4974
2413,環科,2021-01-28,2581000,62428900,25.00,25.45,23.45,23.60,-1.50,1277
2414,精技,2021-01-28,216000,5488800,25.55,25.65,25.30,25.30,-0.30,155
2415,錩新,2021-01-28,6573000,221841050,35.40,36.00,31.90,32.65,-2.75,3954
2417,圓剛,2021-01-28,6310000,290694400,46.90,47.60,45.05,45.30,-1.60,3742
2419,仲琦,2021-01-28,746000,16923600,22.75,23.15,22.25,22.25,-0.50,403
2420,新巨,2021-01-28,394000,12776300,32.70,32.70,32.20,32.20,-0.45,246
2421,建準,2021-01-28,2220000,117314100,52.80,53.60,52.30,52.30,-0.20,1595
2423,固緯,2021-01-28,326000,7631450,23.25,23.65,23.05,23.05,-0.25,237
2424,隴華,2021-01-28,14000,360150,24.45,25.95,24.45,25.95,2.35,14
2425,承啟,2021-01-28,576000,15521100,26.70,27.45,26.55,26.55,-0.05,354
2426,鼎元,2021-01-28,6737000,123586650,18.30,18.75,18.05,18.15,-0.05,2423
2427,三商電,2021-01-28,196000,2212150,11.25,11.35,11.25,11.35,0.05,65
2428,興勤,2021-01-28,999000,178736500,183.50,184.50,175.00,175.00,-6.50,809
2429,銘旺科,2021-01-28,51000,886900,17.45,17.55,17.00,17.45,0.00,37
2430,燦坤,2021-01-28,212000,4170050,19.55,19.85,19.50,19.60,-0.15,93
2431,聯昌,2021-01-28,379000,4006400,10.75,10.85,10.35,10.40,-0.25,196
2433,互盛電,2021-01-28,59000,2952250,50.00,50.20,49.90,49.90,-0.20,47
2434,統懋,2021-01-28,11000,291850,26.55,26.60,26.50,26.50,-0.10,7
2436,偉詮電,2021-01-28,4705000,204984750,44.60,44.70,42.45,43.00,-0.80,2727
2438,翔耀,2021-01-28,80000,861100,11.20,11.30,10.30,10.30,-0.80,37
2439,美律,2021-01-28,2590000,352923000,134.50,138.00,134.00,135.50,2.00,1769
2440,太空梭,2021-01-28,324000,3978150,12.60,12.60,12.10,12.30,-0.10,181
2441,超豐,2021-01-28,7473000,486999600,67.80,68.30,63.20,63.50,-3.80,4519
2442,新美齊,2021-01-28,658000,6192620,9.45,9.50,9.35,9.35,-0.08,245
2443,億麗,2021-01-28,2193000,4213040,1.89,2.09,1.89,2.07,-0.03,331
2444,兆勁,2021-01-28,556000,8177050,15.05,15.05,14.50,14.60,-0.30,294
2449,京元電子,2021-01-28,23172000,875501650,38.85,39.00,36.95,37.00,-1.40,10426
2450,神腦,2021-01-28,212000,6532400,31.05,31.25,30.60,30.60,-0.50,180
2451,創見,2021-01-28,975000,60141100,61.70,62.00,61.50,61.60,-0.10,673
2453,凌群,2021-01-28,197000,3340600,17.05,17.05,16.85,16.90,0.05,124
2454,聯發科,2021-01-28,17406000,15464417000,889.00,903.00,875.00,875.00,6.00,11609
2455,全新,2021-01-28,5437000,581884000,111.00,111.50,105.00,105.00,-4.00,3445
2456,奇力新,2021-01-28,4764000,490492000,105.50,105.50,101.00,101.00,-3.00,2796
2457,飛宏,2021-01-28,8798000,149904050,17.60,17.65,16.50,16.50,-0.55,3600
2458,義隆,2021-01-28,4652000,759051500,168.00,169.00,159.50,159.50,-5.50,3159
2459,敦吉,2021-01-28,84000,3787300,45.15,45.15,45.00,45.05,-0.10,68
2460,建通,2021-01-28,8726000,212383850,25.20,25.70,23.00,23.15,-2.00,4065
2461,光群雷,2021-01-28,741000,12221900,16.60,16.70,16.25,16.40,-0.15,257
2462,良得電,2021-01-28,269000,7383250,28.05,28.05,27.10,27.40,-0.70,130
2464,盟立,2021-01-28,742000,30626000,41.45,41.80,41.00,41.15,-0.15,493
2465,麗臺,2021-01-28,1285000,22296050,17.20,17.85,16.70,17.50,0.75,671
2466,冠西電,2021-01-28,135000,4351500,32.40,32.55,32.00,32.40,-0.20,84
2467,志聖,2021-01-28,1035000,41913150,40.95,41.00,40.00,40.10,-0.60,532
2468,華經,2021-01-28,98000,1260450,12.85,12.95,12.80,12.85,-0.05,45
2471,資通,2021-01-28,877000,23141150,26.45,26.80,26.00,26.00,-0.05,532
2472,立隆電,2021-01-28,5349000,377679700,71.60,72.70,68.00,68.00,-2.70,3634
2474,可成,2021-01-28,5675000,1141123000,205.50,207.00,198.00,198.00,-7.00,3323
2476,鉅祥,2021-01-28,2484000,64272000,26.30,26.70,25.05,25.30,-0.85,1201
2477,美隆電,2021-01-28,639000,18793400,29.85,30.30,28.90,29.10,-0.95,347
2478,大毅,2021-01-28,1949000,155394400,81.50,81.90,78.20,78.20,-2.50,1344
2480,敦陽科,2021-01-28,207000,13807300,66.60,67.20,66.50,66.50,-0.20,175
2481,強茂,2021-01-28,37599000,1987172900,52.30,55.50,50.50,50.50,-0.70,19906
2482,連宇,2021-01-28,55000,574400,10.50,10.50,10.40,10.45,0.00,26
2483,百容,2021-01-28,42000,814650,19.50,19.50,19.30,19.30,-0.20,29
2484,希華,2021-01-28,1338000,30308250,22.95,23.05,22.30,22.35,-0.40,712
2485,兆赫,2021-01-28,1557000,27385500,17.45,17.90,17.35,17.40,0.10,572
2486,一詮,2021-01-28,2503000,43492800,17.95,17.95,17.00,17.05,-0.60,845
2488,漢平,2021-01-28,124000,3599900,29.10,29.20,28.90,29.05,-0.05,98
2489,瑞軒,2021-01-28,4910000,55458700,11.25,11.45,11.10,11.15,-0.10,924
2491,吉祥全,2021-01-28,1973000,24872600,13.20,13.50,11.80,11.95,-1.10,848
2492,華新科,2021-01-28,6904000,1562749000,230.00,232.00,220.50,220.50,-6.50,4664
2493,揚博,2021-01-28,346000,11724500,34.15,34.15,33.70,33.70,-0.30,246
2495,普安,2021-01-28,386000,4638550,12.10,12.15,11.90,12.00,-0.15,171
2496,卓越,2021-01-28,3000,155900,51.90,52.00,51.90,52.00,0.10,2
2497,怡利電,2021-01-28,1681000,60415500,36.50,37.05,35.15,35.30,-0.70,974
2498,宏達電,2021-01-28,6746000,191368400,28.05,29.05,27.85,28.45,0.45,2839
2501,國建,2021-01-28,1083000,20313550,18.85,18.85,18.65,18.65,-0.25,492
2504,國產,2021-01-28,4174000,88339400,21.40,21.45,20.85,20.90,-0.45,1580
2505,國揚,2021-01-28,1532000,46170350,30.65,30.75,29.55,29.75,-0.85,789
2506,太設,2021-01-28,429000,3962340,9.25,9.29,9.16,9.17,-0.13,163
2509,全坤建,2021-01-28,177000,2952650,16.80,16.80,16.60,16.65,-0.15,114
2511,太子,2021-01-28,1397000,15070850,10.85,10.90,10.70,10.75,-0.15,333
2514,龍邦,2021-01-28,350000,4902900,14.05,14.10,13.95,13.95,-0.15,143
2515,中工,2021-01-28,13657000,115866690,8.68,8.70,8.33,8.34,-0.30,3388
2516,新建,2021-01-28,138000,656720,4.75,4.85,4.72,4.79,-0.03,65
2520,冠德,2021-01-28,2810000,89935150,32.40,32.40,31.65,32.05,-0.40,1508
2524,京城,2021-01-28,216000,7608100,35.55,35.90,34.50,35.00,-0.65,138
2527,宏璟,2021-01-28,307000,5644150,18.50,18.60,18.25,18.40,-0.05,157
2528,皇普,2021-01-28,159000,3644450,22.75,23.00,22.50,22.75,-0.25,81
2530,華建,2021-01-28,563000,7580650,13.45,13.50,13.40,13.45,-0.05,132
2534,宏盛,2021-01-28,438000,7877400,18.10,18.10,17.90,18.05,-0.05,156
2535,達欣工,2021-01-28,1341000,33368900,24.95,25.10,24.75,24.75,-0.20,781
2536,宏普,2021-01-28,411000,8825550,21.50,21.55,21.40,21.40,-0.10,171
